time_minutes,Gate_Voltage,Collector_Current_microampere
0,2.020181,0.005885970999999999
30,2.040083,0.005927931
60,2.060686,0.0059131620000000005
90,2.080598,0.0058963539999999995
120,2.100827,0.006043535
150,2.120736,0.006093506
180,2.140708,0.006155923
210,2.16128,0.006243973
240,2.181162,0.006336607
270,2.201077,0.006347744000000001
300,2.22133,0.00637071
330,2.241278,0.006374451000000001
360,2.261826,0.0064211879999999995
390,2.281733,0.006446693000000001
420,2.301644,0.006547081
450,2.321592,0.006615556999999999
480,2.341828,0.00668259
510,2.362436,0.006727487999999999
540,2.382347,0.006820720000000001
570,2.402278,0.00682271
600,2.422204,0.006848469
630,2.442444,0.006909388
660,2.462646,0.006942586
690,2.482916,0.006996744
720,2.502876,0.007109371999999999
750,2.522765,0.0071565579999999995
780,2.542662,0.007190762
810,2.563241,0.007301347999999999
840,2.583183,0.007343626999999999
870,2.60342,0.007390949
900,2.623317,0.007421384
930,2.643224,0.007463644999999999
960,2.663872,0.007567866999999999
990,2.683764,0.007626402000000001
1020,2.703671,0.007702425
1050,2.723915,0.007811567
1080,2.743845,0.007886849
1110,2.764418,0.007934679
1140,2.784321,0.008067293
1170,2.804224,0.008132816
1200,2.824494,0.008236526000000001
1230,2.844408,0.008321841
1260,2.864987,0.008406808
1290,2.884911,0.008539979000000001
1320,2.904808,0.008667569
1350,2.924711,0.008810221
1380,2.944949,0.008985344
1410,2.965188,0.009122741
1440,2.985443,0.009239134999999999
1470,3.005338,0.009461737
1500,3.025241,0.009636961
1530,3.045179,0.009868346
1560,3.065782,0.01011025
1590,3.085688,0.010355040000000001
1620,3.105939,0.01065105
1650,3.125844,0.011000399999999999
1680,3.145763,0.01134306
1710,3.166373,0.01175388
1740,3.186239,0.01216911
1770,3.206169,0.012587800000000001
1800,3.226378,0.01314971
1830,3.246276,0.01372879
1860,3.266917,0.01441803
1890,3.286784,0.01516142
1920,3.30672,0.01596355
1950,3.326917,0.01687039
1980,3.346847,0.01797592
2010,3.36748,0.01908025
2040,3.387353,0.02036123
2070,3.407206,0.02174692
2100,3.427127,0.02337556
2130,3.447392,0.02523178
2160,3.467632,0.02732391
2190,3.487849,0.02966355
2220,3.507804,0.03225354
2250,3.527704,0.03515483
2280,3.547589,0.03840051
2310,3.568141,0.04223531
2340,3.588107,0.04641059
2370,3.608337,0.05119299
2400,3.628252,0.05655226
2430,3.648158,0.0625061
2460,3.668743,0.06953003
2490,3.68866,0.07723263
2520,3.70891,0.08608259
2550,3.728804,0.09590725
2580,3.749405,0.1074481
2610,3.769345,0.1200821
2640,3.789271,0.13441
2670,3.809168,0.150599
2700,3.829384,0.16925839999999998
2730,3.849644,0.1904574
2760,3.869921,0.2145298
2790,3.889823,0.2413483
2820,3.909735,0.271792
2850,3.929634,0.30628099999999997
2880,3.95024,0.3468321
2910,3.97019,0.3915252
2940,3.990417,0.4429806
2970,4.010337,0.5006106
3000,4.030266,0.5660706000000001
3030,4.050858,0.6430846
3060,4.070786,0.7278886
3090,4.090693,0.8242269999999999
3120,4.110976,0.9357886000000001
3150,4.13073,1.059607
3180,4.151372,1.2065860000000002
3210,4.17125,1.368376
3240,4.191178,1.552554
3270,4.211425,1.766159
